branch	gain events	gained domains	loss events	lost domais	duplication events	duplicated domains
n130 → LHV4	0		0		5	PF02124 (Marek_A); PF03122 (Herpes_MCP); PF03585 (Herpes_ICP4_C); PF03585 (Herpes_ICP4_C); PF04559 (Herpes_UL17)
n131 → n132	2	PF04534 (Herpes_UL56); PF05363 (Herpes_US12)	1	PF05702 (Herpes_UL49_5)	0	
n131 → n143	0		0		0	
n132 → n133	1	PF01391 (Collagen)	0		1	PF01391 (Collagen)
n132 → n138	2	PF10488 (PP1c_bdg); PF16852 (HHV-1_VABD)	0		1	PF10488 (PP1c_bdg)
n143 → FBaHV1	5	PF04534 (Herpes_UL56); PF04886 (PT); PF10488 (PP1c_bdg); PF13488 (Gly-zipper_Omp); PF13920 (zf-C3HC4_3)	0		4	PF04886 (PT); PF05072 (Herpes_UL43); PF10488 (PP1c_bdg); PF13920 (zf-C3HC4_3)
n143 → MaHV1	1	PF00303 (Thymidylat_synt)	8	PF02053 (Gene66); PF03229 (Alpha_GJ); PF03277 (Herpes_UL4); PF03369 (Herpes_UL3); PF05072 (Herpes_UL43); PF06072 (Herpes_US9); PF12149 (HSV_VP16_C); PF12524 (GlyL_C)	1	PF00303 (Thymidylat_synt)
n133 → CeHV1	1	PF00132 (Hexapep)	1	PF05363 (Herpes_US12)	0	
n133 → n135	0		0		0	
n138 → n139	0		5	PF03229 (Alpha_GJ); PF13639 (zf-RING_2); PF13639 (zf-RING_2); PF13923 (zf-C3HC4_2); PF13923 (zf-C3HC4_2)	0	
n138 → HHV1	0		1	PF01537 (Herpes_glycop_D)	0	
n135 → CeHV16	0		4	PF13639 (zf-RING_2); PF13639 (zf-RING_2); PF13923 (zf-C3HC4_2); PF13923 (zf-C3HC4_2)	4	PF01391 (Collagen); PF01391 (Collagen); PF01391 (Collagen); PF01391 (Collagen)
n135 → CeHV2	0		2	PF01391 (Collagen); PF01391 (Collagen)	0	
n139 → ChHV1	0		0		0	
n139 → HHV2	0		0		0	
